pairs,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades,passes
XRP+ADA+BNB,99.7,13.09,1.60,346,50.9,12.57,1.43,319,no
XRP+ADA+LTC,119.0,12.25,1.72,352,56.7,10.73,1.42,338,no
XRP+ADA+ETC,107.2,14.28,1.61,354,54.8,15.34,1.47,324,no
XRP+ADA+XLM,117.1,10.95,1.70,350,57.4,12.91,1.46,345,no
XRP+ADA+VET,90.0,9.52,1.57,363,59.7,19.15,1.47,337,no
XRP+ADA+ALGO,151.8,11.58,1.80,363,67.7,12.33,1.54,337,no
XRP+BNB+LTC,126.4,12.22,1.72,356,35.1,15.61,1.31,314,no
XRP+BNB+ETC,114.5,16.48,1.61,358,33.5,11.6,1.33,300,no
XRP+BNB+XLM,125.5,10.47,1.70,354,35.7,13.2,1.33,321,no
XRP+BNB+VET,96.9,10.79,1.58,367,37.9,17.1,1.35,313,no
XRP+BNB+ALGO,161.2,10.6,1.80,367,44.7,13.17,1.42,313,no
XRP+LTC+ETC,134.8,13.48,1.71,364,38.6,11.85,1.34,319,no
XRP+LTC+XLM,146.6,9.36,1.82,360,41.0,14.92,1.34,340,no
XRP+LTC+VET,115.6,8.97,1.69,373,43.2,15.36,1.35,332,no
XRP+LTC+ALGO,185.9,9.31,1.92,373,50.2,15.3,1.42,332,no
XRP+ETC+XLM,134.0,11.39,1.70,362,39.2,8.8,1.37,326,no
XRP+ETC+VET,104.4,11.93,1.58,375,41.5,19.0,1.39,318,no
XRP+ETC+ALGO,171.1,9.46,1.80,375,48.5,10.85,1.46,318,no
XRP+XLM+VET,114.5,9.5,1.68,371,43.7,11.07,1.38,339,no
XRP+XLM+ALGO,184.1,8.9,1.89,371,50.7,14.87,1.46,339,no
XRP+VET+ALGO,148.7,7.66,1.78,384,53.0,12.28,1.47,331,no
ADA+BNB+LTC,113.9,11.71,1.67,362,59.0,9.88,1.42,352,no
ADA+BNB+ETC,102.2,13.16,1.56,364,56.9,13.46,1.46,338,no
ADA+BNB+XLM,112.6,10.29,1.65,360,59.8,13.06,1.46,359,no
ADA+BNB+VET,85.6,9.28,1.53,373,62.0,16.65,1.47,351,no
ADA+BNB+ALGO,146.7,10.42,1.75,373,70.0,9.64,1.54,351,no
ADA+LTC+ETC,121.7,12.45,1.66,370,63.0,12.05,1.46,357,no
ADA+LTC+XLM,132.9,8.41,1.77,366,66.2,9.73,1.45,378,no
ADA+LTC+VET,103.6,10.6,1.64,379,68.3,15.07,1.46,370,no
ADA+LTC+ALGO,170.3,10.6,1.87,379,76.7,9.79,1.53,370,no
ADA+ETC+XLM,120.3,11.01,1.65,368,63.8,12.01,1.50,364,no
ADA+ETC+VET,92.3,12.03,1.53,381,66.1,19.3,1.50,356,no
ADA+ETC+ALGO,155.5,10.62,1.75,381,74.5,10.56,1.58,356,no
ADA+XLM+VET,101.9,9.82,1.62,377,69.1,15.04,1.50,377,no
ADA+XLM+ALGO,167.8,10.45,1.85,377,77.5,11.43,1.57,377,no
ADA+VET+ALGO,134.4,11.26,1.73,390,79.7,11.19,1.58,369,no
BNB+LTC+ETC,129.0,14.18,1.66,374,40.4,13.1,1.35,333,no
BNB+LTC+XLM,141.4,12.48,1.76,370,43.1,16.62,1.35,354,no
BNB+LTC+VET,110.5,12.62,1.64,383,45.1,14.37,1.36,346,no
BNB+LTC+ALGO,179.9,10.98,1.86,383,52.3,14.95,1.42,346,no
BNB+ETC+XLM,128.9,13.44,1.65,372,41.1,10.31,1.37,340,no
BNB+ETC+VET,99.2,15.38,1.54,385,43.5,17.24,1.39,332,no
BNB+ETC+ALGO,164.8,11.66,1.75,385,50.4,10.84,1.46,332,no
BNB+XLM+VET,109.8,10.5,1.63,381,45.8,11.31,1.38,353,no
BNB+XLM+ALGO,178.5,9.97,1.84,381,53.0,12.67,1.46,353,no
BNB+VET+ALGO,143.2,8.03,1.73,394,55.0,11.96,1.47,345,no
LTC+ETC+XLM,149.9,12.4,1.76,378,46.7,9.86,1.38,359,no
LTC+ETC+VET,118.1,11.62,1.64,391,48.9,17.34,1.39,351,no
LTC+ETC+ALGO,189.7,9.45,1.85,391,56.3,13.01,1.46,351,no
LTC+XLM+VET,129.5,9.38,1.74,387,51.5,10.72,1.39,372,no
LTC+XLM+ALGO,204.5,8.49,1.96,387,59.0,14.67,1.46,372,no
LTC+VET+ALGO,166.2,9.03,1.84,400,61.1,12.76,1.47,364,no
ETC+XLM+VET,117.6,10.45,1.63,389,49.5,11.64,1.42,358,no
ETC+XLM+ALGO,188.9,9.43,1.84,389,57.0,9.2,1.50,358,no
ETC+VET+ALGO,152.3,10.68,1.73,402,59.1,14.75,1.51,350,no
XLM+VET+ALGO,165.4,9.9,1.82,398,61.8,9.98,1.50,371,no
