rank,variant,pairs,risk_pct,conc,oos_annual,oos_dd,is_annual,is_dd,oos_pf,oos_sharpe,oos_trades
1,rr18nt6,SNX+BNB+BCH+ETH+DOGE+ADA,0.6,4,300.7,6.34,148.3,7.88,1.88,5.78,698
2,rr18nt6,1000PEPE+APT+BNB+BCH+ETH+ADA,0.65,4,300.0,7.0,198.5,7.99,1.8,5.28,701
3,rr18nt6,1000PEPE+APT+BNB+LTC+ETH+ADA,0.6,4,295.8,6.6,164.3,7.88,1.86,5.71,726
4,rr18nt5,1000PEPE+APT+BNB+ETH+ADA,0.75,4,293.4,7.68,169.8,7.75,1.81,4.93,601
5,rr18nt5,SNX+BNB+BCH+ETH+ADA,0.7,4,290.4,7.05,153.5,7.51,1.91,5.56,579
6,rr18exp12nt6,1000PEPE+BNB+LTC+ETH+ADA+ENS,0.55,4,289.7,7.48,117.4,7.5,1.83,5.87,751
7,rr16nt6,1000PEPE+APT+BNB+LTC+VET+ADA,0.6,4,289.3,6.81,150.2,7.69,1.84,5.71,787
8,rr18nt6,1000PEPE+BNB+BCH+LTC+ETH+ADA,0.6,4,286.8,7.25,154.7,7.84,1.82,5.8,716
9,rr16nt6,1000PEPE+BNB+BCH+ETH+VET+ADA,0.65,4,286.2,7.55,157.4,7.74,1.79,5.49,744
10,rr16nt6,1000PEPE+SNX+BNB+ETH+DOGE+ADA,0.7,3,285.2,7.88,148.7,7.77,1.77,5.21,678
